 Dispositifs supplémentaires d’accompagnement de la fin de vie,Dispositifs supplémentaires augmentant la durée de vie,Lieu de fabrication,Matière,Numéro,Poids,Produits,"Transport d'approvisionnement",Transport de distribution,_id
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe5272d7,24,"Étagère Mason simple en bois durable Long. 45 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272d8
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe5272d9,13,"Table basse motif chevron en bois durable Long. 121. cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272da
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe5272db,33,"Console Collect en bois durable Long. 154 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272dc
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe5272dd,50,"Buffet Cube en bois durable Long. 140 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272de
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe5272df,28,"Commode Cube en bois durable Long. 100 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272e0
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe5272e1,13,"Bureau Archive en bois durable Long. 84 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272e2
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe, Placage bois de chêne FSC,63bb32ae761f2261fe5272e3,27,"Console Cube en bois durable Long. 76 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272e4
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe5272e5,22,"Commode motif chevron en bois durable, Long. 100 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272e6
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe5272e7,20,"Petit buffet en bois durable Long. 100 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272e8
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe5272e9,41,"Table à manger 8 personnes en bois durable Long. 200cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272ea
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe5272eb,27,"Commode motif chevron en bois durable Long. 80 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272ec
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC, Verre",63bb32ae761f2261fe5272ed,50,"Petit buffet vitrine en bois durable Long. 100 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272ee
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC, verre",63bb32ae761f2261fe5272ef,75,"Grand buffet vitrine en bois durable, Long. 110 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272f0
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe5272f1,23,"Console motif chevron en bois durable, Long. 90 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272f2
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe5272f3,16,"Table basse Stream en bois durable Long. 137 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272f4
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe5272f5,26,"Table à manger Acorn 4 personnes en bois durable, Long. 140 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272f6
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe5272f7,19,"Bureau Folk en bois durable Long. 120 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272f8
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe, Bois de chêne FSC,63bb32ae761f2261fe5272f9,6,"Paravent en bois durable Long. 70 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272fa
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC,Bois de chêne FSC",63bb32ae761f2261fe5272fb,13,"Table basse Acorn en bois durable Long.120 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272fc
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC,Bois de chêne FSC",63bb32ae761f2261fe5272fd,20,"Banc Ground en bois durable Long. 180 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe5272fe
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC,Bois de chêne FSC",63bb32ae761f2261fe5272ff,18,"Petite bibliothèque en bois durable Long. 80 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe527300
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe527301,25,"Grande bibliothèque en bois durable Long. 80 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe527302
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC,Bois de chêne FSC",63bb32ae761f2261fe527303,29,"Bureau d'architecte en bois durable Long. 120 cm
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe527304
Matière recyclable ~,Réparabilité intégrée,Produit hors Europe," Placage bois de chêne FSC, Bois de chêne FSC",63bb32ae761f2261fe527305,22,"Table à manger ronde en bois durable Ø115
",TrainM/CamionM/BateauM,Colissimo/Spé,63bb32ae761f2261fe527306
